LINK	FROM	TYPE	TO
FOCAL	R036XY325CO	ASSOCIATED	R034BY404CO
FOCAL	R036XY325CO	ASSOCIATED	R035XY413CO
FOCAL	R036XY325CO	ASSOCIATED	R036XY110CO
FOCAL	R036XY325CO	ASSOCIATED	RO36XY111CO
FOCAL	R036XY325CO	ASSOCIATED	RO36XY113CO
FOCAL	R036XY325CO	ASSOCIATED	R036XY326CO
FOCAL	R036XY325CO	ASSOCIATED	R036XY328CO
FOCAL	R036XY325CO	ASSOCIATED	R036XY405CO
FOCAL	R036XY325CO	ASSOCIATED	R036XY445CO
FOCAL	R036XY325CO	SIMILAR	R036XY326CO
FOCAL	R036XY325CO	SIMILAR	RO36XY328CO
FOCAL	R036XY325CO	SIMILAR	R036XY284CO
FOCAL	R034BY404CO	ASSOCIATED	R034BY106UT
FOCAL	R034BY404CO	ASSOCIATED	R034BY117UT
FOCAL	R034BY404CO	ASSOCIATED	R034BY212UT
FOCAL	R034BY404CO	SIMILAR	R034BY248UT
FOCAL	R034BY404CO	SIMILAR	R034BY240UT
FOCAL	R034BY404CO	SIMILAR	R034BY244UT
FOCAL	R034BY404CO	SIMILAR	R034BY202UT
FOCAL	R036XY114CO	ASSOCIATED	R036XY284CO
FOCAL	R036XY114CO	ASSOCIATED	R036XY287CO
FOCAL	R036XY114CO	ASSOCIATED	R036XY289CO
FOCAL	R036XY114CO	ASSOCIATED	R048AY238CO
FOCAL	R036XY114CO	SIMILAR	R036XY287CO
FOCAL	R036XY114CO	SIMILAR	R036XY287CO
FOCAL	R036XY114CO	SIMILAR	R036XY111CO
FOCAL	R036XY114CO	SIMILAR	R036XY445CO
FOCAL	R036XY114CO	SIMILAR	R036XY446CO
FOCAL	R036XY114CO	SIMILAR	R036XY142CO
FOCAL	R036XY114CO	SIMILAR	R036XY141CO
FOCAL	R036XY114CO	SIMILAR	R036XY346CO
FOCAL	R036XY114CO	SIMILAR	R036XY110CO
FOCAL	R036XY113CO	ASSOCIATED	R035XY409CO
FOCAL	R036XY113CO	ASSOCIATED	R036XY325CO
FOCAL	R036XY113CO	SIMILAR	R036XY110CO
FOCAL	R036XY113CO	SIMILAR	R036XY445CO
FOCAL	R036XY113CO	SIMILAR	R036XY346CO
FOCAL	R036XY113CO	SIMILAR	R036XY141CO
FOCAL	R036XY113CO	SIMILAR	R036XY142CO
FOCAL	R036XY113CO	SIMILAR	R036XY446CO
FOCAL	R036XY113CO	SIMILAR	R036XY111CO
FOCAL	R036XY113CO	SIMILAR	R036XY114CO
FOCAL	R036XY113CO	SIMILAR	R036XY287CO
FOCAL	R036XY284CO	ASSOCIATED	R035XY413CO
FOCAL	R036XY284CO	ASSOCIATED	R036XY141CO
FOCAL	R036XY284CO	ASSOCIATED	R036XY142CO
FOCAL	R036XY284CO	ASSOCIATED	R036XY405CO
FOCAL	R036XY284CO	SIMILAR	R036XY287CO
FOCAL	R036XY284CO	SIMILAR	R036XY289CO
FOCAL	R036XY284CO	SIMILAR	R036XY347CO
FOCAL	R036XY284CO	SIMILAR	R036XY310CO
FOCAL	R034BY109UT	ASSOCIATED	R034BY106UT
FOCAL	R034BY109UT	ASSOCIATED	R034BY117UT
FOCAL	R034BY117UT	ASSOCIATED	R034BY101UT
FOCAL	R034BY117UT	ASSOCIATED	R034BY103UT
FOCAL	R034BY117UT	ASSOCIATED	R034BY121UT
FOCAL	R036XY287CO	ASSOCIATED	R036XY038CO
FOCAL	R036XY287CO	ASSOCIATED	R036XY110CO
FOCAL	R036XY287CO	ASSOCIATED	R036XY114CO
FOCAL	R036XY287CO	ASSOCIATED	R036XY284CO
FOCAL	R036XY287CO	ASSOCIATED	R036XY289CO
FOCAL	R036XY287CO	SIMILAR	R036XY113CO
FOCAL	R036XY287CO	SIMILAR	R036XY114CO
FOCAL	R036XY287CO	SIMILAR	R036XY111CO
FOCAL	R036XY287CO	SIMILAR	R036XY445CO
FOCAL	R036XY287CO	SIMILAR	R036XY346CO
FOCAL	R036XY287CO	SIMILAR	R036XY142CO
FOCAL	R036XY287CO	SIMILAR	R036XY141CO
FOCAL	R036XY287CO	SIMILAR	R036XY446CO
FOCAL	R036XY287CO	SIMILAR	R036XY110CO
FOCAL	R034BY104UT	ASSOCIATED	R034BY227UT
FOCAL	R034BY104UT	ASSOCIATED	R034BY212UT
FOCAL	R034BY322UT	ASSOCIATED	F048AY330UT
FOCAL	R034BY322UT	ASSOCIATED	R048AY366UT
FOCAL	R034BY322UT	ASSOCIATED	R048AY443UT
FOCAL	R034BY322UT	SIMILAR	F048AY330UT
FOCAL	R034BY112UT	ASSOCIATED	R034BY115UT
FOCAL	R034BY112UT	ASSOCIATED	R034BY003UT
FOCAL	R034BY112UT	ASSOCIATED	R034BY012UT
FOCAL	R034BY302UT	ASSOCIATED	R034BY315UT
FOCAL	R036XY111CO	ASSOCIATED	R035XY263UT
FOCAL	R036XY111CO	ASSOCIATED	R036XY110CO
FOCAL	R036XY111CO	ASSOCIATED	R036XY141CO
FOCAL	R036XY111CO	ASSOCIATED	R036XY142CO
FOCAL	R036XY111CO	ASSOCIATED	R036XY445CO
FOCAL	R036XY111CO	SIMILAR	R036XY113CO
FOCAL	R036XY111CO	SIMILAR	R036XY287CO
FOCAL	R036XY111CO	SIMILAR	R036XY114CO
FOCAL	R036XY111CO	SIMILAR	R036XY446CO
FOCAL	R036XY111CO	SIMILAR	R036XY445CO
FOCAL	R036XY111CO	SIMILAR	R036XY141CO
FOCAL	R036XY111CO	SIMILAR	R036XY142CO
FOCAL	R036XY111CO	SIMILAR	R036XY346CO
FOCAL	R036XY111CO	SIMILAR	R036XY110CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY266CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY114CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY038CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY284CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY287CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY405CO
FOCAL	R036XY289CO	ASSOCIATED	R036XY445CO
FOCAL	R036XY289CO	SIMILAR	R036XY284CO
FOCAL	R036XY289CO	SIMILAR	R036XY310CO
FOCAL	R036XY289CO	SIMILAR	R036XY287CO
FOCAL	R036XY289CO	SIMILAR	R036XY347CO
FOCAL	R036XY326CO	ASSOCIATED	R036XY325CO
FOCAL	R036XY326CO	SIMILAR	R036XY325CO
FOCAL	R036XY326CO	SIMILAR	R036XY328CO
FOCAL	R042XB036NM	ASSOCIATED	R042BB006NM
FOCAL	R042XB036NM	ASSOCIATED	R042BB014NM
FIRST	R035XY413CO	ASSOCIATED	R036XY325CO
FIRST	R035XY413CO	SIMILAR	R036XY325CO
FIRST	R035XY413CO	SIMILAR	R036XY328CO
FIRST	R036XY110CO	ASSOCIATED	R036XY111CO
FIRST	R036XY110CO	ASSOCIATED	R036XY113CO
FIRST	R036XY110CO	ASSOCIATED	R036XY325CO
FIRST	R036XY110CO	ASSOCIATED	R036XY328CO
FIRST	R036XY110CO	SIMILAR	R036XY111CO
FIRST	R036XY110CO	SIMILAR	R036XY445CO
FIRST	R036XY110CO	SIMILAR	R036XY346CO
FIRST	R036XY110CO	SIMILAR	R036XY141CO
FIRST	R036XY110CO	SIMILAR	R036XY142CO
FIRST	R036XY110CO	SIMILAR	R036XY446CO
FIRST	R036XY110CO	SIMILAR	R036XY114CO
FIRST	R036XY110CO	SIMILAR	R036XY287CO
FIRST	R036XY110CO	SIMILAR	R036XY113CO
FIRST	R036XY328CO	ASSOCIATED	R036XY110CO
FIRST	R036XY328CO	ASSOCIATED	R036XY325CO
FIRST	R036XY328CO	ASSOCIATED	R036XY405CO
FIRST	R036XY328CO	SIMILAR	R036XY325CO
FIRST	R036XY328CO	SIMILAR	R036XY326CO
FIRST	R036XY405CO	ASSOCIATED	R035XY015UT
FIRST	R036XY405CO	ASSOCIATED	R035XY413CO
FIRST	R036XY405CO	ASSOCIATED	R036XY038CO
FIRST	R036XY405CO	ASSOCIATED	R036XY111CO
FIRST	R036XY405CO	ASSOCIATED	R036XY266CO
FIRST	R036XY405CO	ASSOCIATED	R036XY284CO
FIRST	R036XY405CO	ASSOCIATED	R036XY445CO
FIRST	R036XY405CO	SIMILAR	R035XY003UT
FIRST	R036XY405CO	SIMILAR	R035XY015UT
FIRST	R036XY405CO	SIMILAR	R035XY011UT
FIRST	R036XY445CO	ASSOCIATED	R035XY413CO
FIRST	R036XY445CO	ASSOCIATED	R036XY110CO
FIRST	R036XY445CO	ASSOCIATED	R036XY111CO
FIRST	R036XY445CO	ASSOCIATED	R036XY141CO
FIRST	R036XY445CO	ASSOCIATED	R036XY142CO
FIRST	R036XY445CO	ASSOCIATED	R036XY266CO
FIRST	R036XY445CO	ASSOCIATED	R036XY284CO
FIRST	R036XY445CO	ASSOCIATED	R036XY289CO
FIRST	R036XY445CO	ASSOCIATED	R036XY325CO
FIRST	R036XY445CO	ASSOCIATED	R036XY405CO
FIRST	R036XY445CO	ASSOCIATED	R036XY405CO
FIRST	R036XY445CO	SIMILAR	R036XY114CO
FIRST	R036XY445CO	SIMILAR	R036XY287CO
FIRST	R036XY445CO	SIMILAR	R036XY113CO
FIRST	R036XY445CO	SIMILAR	R036XY110CO
FIRST	R036XY445CO	SIMILAR	R036XY346CO
FIRST	R036XY445CO	SIMILAR	R036XY446CO
FIRST	R036XY445CO	SIMILAR	R036XY141CO
FIRST	R036XY445CO	SIMILAR	R036XY142CO
FIRST	R036XY445CO	SIMILAR	R036XY111CO
FIRST	R034BY212UT	ASSOCIATED	R034BY216UT
FIRST	R034BY212UT	ASSOCIATED	R034BY233UT
FIRST	R034BY212UT	ASSOCIATED	R034BY247UT
FIRST	R034BY212UT	SIMILAR	R034BY205UT
FIRST	R034BY212UT	SIMILAR	R034BY206UT
FIRST	R034BY248UT	ASSOCIATED	R034BY251UT
FIRST	R034BY240UT	ASSOCIATED	R034BY212UT
FIRST	R034BY240UT	ASSOCIATED	R034BY247UT
FIRST	R034BY244UT	ASSOCIATED	R034BY247UT
FIRST	R034BY202UT	ASSOCIATED	R034BY209UT
FIRST	R034BY202UT	ASSOCIATED	R034BY225UT
FIRST	R034BY202UT	ASSOCIATED	R034BY233UT
FIRST	R036XY446CO	ASSOCIATED	R036XY111CO
FIRST	R036XY446CO	ASSOCIATED	R036XY284CO
FIRST	R036XY446CO	ASSOCIATED	R036XY289CO
FIRST	R036XY446CO	ASSOCIATED	R036XY326CO
FIRST	R036XY446CO	ASSOCIATED	R036XY445CO
FIRST	R036XY446CO	SIMILAR	R036XY111CO
FIRST	R036XY446CO	SIMILAR	R036XY142CO
FIRST	R036XY446CO	SIMILAR	R036XY141CO
FIRST	R036XY446CO	SIMILAR	R036XY346CO
FIRST	R036XY446CO	SIMILAR	R036XY445CO
FIRST	R036XY446CO	SIMILAR	R036XY110CO
FIRST	R036XY446CO	SIMILAR	R036XY113CO
FIRST	R036XY446CO	SIMILAR	R036XY113CO
FIRST	R036XY446CO	SIMILAR	R036XY114CO
FIRST	R036XY142CO	ASSOCIATED	R036XY110CO
FIRST	R036XY142CO	ASSOCIATED	R036XY111CO
FIRST	R036XY142CO	ASSOCIATED	R036XY141CO
FIRST	R036XY142CO	ASSOCIATED	R036XY284CO
FIRST	R036XY142CO	ASSOCIATED	R036XY289CO
FIRST	R036XY142CO	ASSOCIATED	R036XY445CO
FIRST	R036XY142CO	SIMILAR	R036XY114CO
FIRST	R036XY142CO	SIMILAR	R036XY113CO
FIRST	R036XY142CO	SIMILAR	R036XY287CO
FIRST	R036XY142CO	SIMILAR	R036XY111CO
FIRST	R036XY142CO	SIMILAR	R036XY445CO
FIRST	R036XY142CO	SIMILAR	R036XY446CO
FIRST	R036XY142CO	SIMILAR	R036XY141CO
FIRST	R036XY142CO	SIMILAR	R036XY346CO
FIRST	R036XY142CO	SIMILAR	R036XY110CO
FIRST	R036XY141CO	ASSOCIATED	R036XY110CO
FIRST	R036XY141CO	ASSOCIATED	R036XY111CO
FIRST	R036XY141CO	ASSOCIATED	R036XY142CO
FIRST	R036XY141CO	ASSOCIATED	R036XY284CO
FIRST	R036XY141CO	ASSOCIATED	R036XY289CO
FIRST	R036XY141CO	SIMILAR	R036XY110CO
FIRST	R036XY141CO	SIMILAR	R036XY346CO
FIRST	R036XY141CO	SIMILAR	R036XY142CO
FIRST	R036XY141CO	SIMILAR	R036XY446CO
FIRST	R036XY141CO	SIMILAR	R036XY445CO
FIRST	R036XY141CO	SIMILAR	R036XY111CO
FIRST	R036XY141CO	SIMILAR	R036XY287CO
FIRST	R036XY141CO	SIMILAR	R036XY113CO
FIRST	R036XY141CO	SIMILAR	R036XY114CO
FIRST	R036XY346CO	ASSOCIATED	R036XY347CO
FIRST	R036XY346CO	SIMILAR	R036XY284CO
FIRST	R036XY346CO	SIMILAR	R036XY142CO
FIRST	R036XY346CO	SIMILAR	R036XY141CO
FIRST	R036XY346CO	SIMILAR	R036XY446CO
FIRST	R036XY346CO	SIMILAR	R036XY445CO
FIRST	R036XY346CO	SIMILAR	R036XY310CO
FIRST	R036XY346CO	SIMILAR	R036XY114CO
FIRST	R036XY346CO	SIMILAR	R036XY287CO
FIRST	R036XY346CO	SIMILAR	R036XY289CO
FIRST	R036XY347CO	ASSOCIATED	R036XY038CO
FIRST	R036XY347CO	ASSOCIATED	R036XY346CO
FIRST	R036XY347CO	SIMILAR	R036XY310CO
FIRST	R036XY347CO	SIMILAR	R036XY287CO
FIRST	R036XY347CO	SIMILAR	R036XY289CO
FIRST	R036XY347CO	SIMILAR	R036XY284CO
FIRST	R036XY310CO	ASSOCIATED	R036XY284CO
FIRST	R036XY310CO	ASSOCIATED	R036XY289CO
FIRST	R036XY310CO	SIMILAR	R036XY284CO
FIRST	R036XY310CO	SIMILAR	R036XY347CO
FIRST	R036XY310CO	SIMILAR	R036XY287CO
FIRST	R036XY310CO	SIMILAR	R036XY289CO
FIRST	R034BY103UT	ASSOCIATED	R034BY117UT
FIRST	R034BY121UT	ASSOCIATED	R034BY106UT
FIRST	R034BY121UT	ASSOCIATED	R034BY118UT
FIRST	R036XY038CO	ASSOCIATED	R035XY413CO
